ID,INCIDENT,DATE,TIME,ADDRESS,ZIP,BATTALION/SHIFT,MAPSCO,COUNCIL_DISTRICT,CENSUS_TRACT,STRUCTURE_TYPE,NO_OF_STORIES,CONSTRUCTION,CAUSE,TOTAL_VALUE,STRUCTURE_LOSS,CONTENTS_LOSS,TOTAL_SAVED,SPRINKER_SYS,ALARM_SYS
17277,,11/08/2019,10:19 PM,14830 KLEBERG RD,75253,8/B-E,69A-V-E,,,VEHICLE,1999,NISSAN QUEST,EXPOSURE (ACCIDENTAL),1500,-500,0,1000,N/A,NO
17278,2019268758,11/08/2019,02:32 PM,5922 VELASCO AVE,75206,3/B,36T,14,1101,DWELLING,1,WOOD,MECHANICAL FAILURE MALFUNCTION OTHER,379200,-100000,0,279200,NO,YES
17279,2019270017,11/09/2019,11:01 PM,2402 PEABODY AVE,75215,1/C,46S,7,20300,APARTMENTS,2,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,163410,-10000,-3000,150410,NO,NO
17280,2019269408,11/09/2019,07:50 AM,3056 WILDFLOWER DR,75229,7/C,23B,13,9611,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,194080,-1000,0,193080,NO,YES
17281,2019269667,11/09/2019,02:27 PM,9610 GLENGREEN DR,75217,8/C,59F,5,11900,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,121660,-4000,0,117660,NO,NO
17282,2019269834,11/09/2019,06:22 PM,8973 BIRD LN,75241,5/C,67E,8,20200,VEHICLE,2017,CHEVROLET MALIBU LT,INCENDIARY,15000,-15000,0,0,NO,NO
17283,2019270577,11/10/2019,02:57 PM,2720 SAMUELL BLVD,75223,3/A,46H,2,1202,COMMERCIAL,1,MASONRY,INCENDIARY,350070,-1000,0,349070,N/A,UNK
17284,2019270314,11/10/2019,09:14 AM,7643 ANTOINETTE ST,75217,8/A,58T,8,9304,APARTMENTS,2,WOOD,UNDETERMINED,6415000,-1500,-50,6413450,NO,YES
17285,2019270371,11/10/2019,10:52 AM,1712 RIVERWAY DR,75217,8/A,59E,5,9201,GARAGE,2,WOOD,UNDETERMINED,20000,-20000,0,0,N/A,UNK
17286,2019270886,11/10/2019,10:30 PM,7132 NANDINA DR,75241,5/A,66W,8,16701,DWELLING,1,WOOD,ABANDONED OR DISCARDED MATERIALS OR PRODUCTS,219230,-35000,-80000,104230,NO,YES
17287,2019271001,11/10/2019,01:52 AM,9957 LA PRADA DR,75228,8/A,39N,9,12500,DWELLING,1,WOOD,ELECTRICAL FAILURE MALFUNCTION OTHER,121000,-15000,0,106000,NO,YES
17288,2019271675,11/11/2019,07:25 PM,3727 N WESTMORELAND RD,75212,9/B,43K,6,10500,CHURCH,1,BRICK,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,200000,0,0,200000,NO,UNK
17289,2019271443,11/11/2019,02:45 PM,300 S ST PAUL ST,75201,1/B,45Q,14,3101,APARTMENTS,12,,EQUIPMENT UNATTENDED,2610000,0,-50,2609950,YES,YES
17290,2019271743,11/11/2019,09:20 PM,3840 FRANKFORD RD,75287,2/B,4E,12,21636,APARTMENTS,3,,EQUIPMENT UNATTENDED,3010000,-25000,-5000,2980000,YES,YES
17291,2019271893,11/12/2019,03:46 AM,1518 DEVON CIR,75217,8/B,57H,5,9103,DWELLING,1,BRICK,UNDETERMINED,207840,-85000,-25000,97840,NO,NO
17292,2019272481,11/12/2019,05:32 PM,2717 MOSSGLEN DR,75227,8/C,49X,7,12000,DWELLING,1,,MECHANICAL FAILURE MALFUNCTION OTHER,0,-70000,0,-70000,,
17293,2019272596,11/12/2019,08:24 PM,3519 KELLOGG AVE,75216,5/C,55V,4,8802,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,75000,-25000,0,50000,N/A,YES
17294,2019272627,11/12/2019,09:14 PM,8757 ODOM DR,75217,8/C,59N,5,9202,DWELLING,1,WOOD,MECHANICAL FAILURE MALFUNCTION OTHER,131970,-5000,0,126970,NO,YES
17295,2019272708,11/12/2019,11:52 PM,18206 BRIGHTON GREEN,75252,2/C,5H,12,31709,DWELLING,2,WOOD,ABANDONED OR DISCARDED MATERIALS OR PRODUCTS,677407,-10000,0,667407,NO,YES
17296,2019272655,11/12/2019,09:58 PM,1427 STELLA AVE,75216,6/C,55P,4,4900,DWELLING,1,WOOD,INCENDIARY,108000,-8000,0,100000,N/A,UNK
17297,2019272449,11/12/2019,04:48 PM,11301 DENNIS RD,75229,7/C,23B,6,9610,MOTEL,1,WOOD,UNDETERMINED,1150000,0,0,1150000,NO,NO
17298,2019273013,11/13/2019,10:46 AM,2900 56TH ST,75241,5/A,66B,8,8705,VEHICLE,,CHRYSLER CARAVAN,INCENDIARY,2000,-2000,0,0,,
17299,2019272755,11/13/2019,02:14 AM,9932 CEDAR MOUNTAIN CIR,75223,8/A,59C,5,11900,FENCE,,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,1500,-1500,0,0,N/A,UNK
17300,2019273558,11/13/2019,11:40 PM,2946 CEDARDALE RD,75241,5/A,76E,8,16703,DWELLING,1,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,177620,-10000,-7000,160620,NO,YES
17301,2019272955,11/13/2019,09:40 AM,407 N LAMAR ST,75202,1/A,46N,4,2100,COMMERCIAL,5,BRICK,MECHANICAL FAILURE MALFUNCTION OTHER,66900,-1000,0,65900,YES,NO
17302,2019273528,11/13/2019,10:37 PM,3823 BONNIE VIEW RD,75216,5/A,56W,4,8802,APARTMENTS,2,WOOD,EQUIPMENT UNATTENDED,1025000,-20000,-5000,1000000,NO,YES
17303,2019273323,11/13/2019,05:40 PM,1805 CHESTNUT ST,75226,1/A,46N,7,20400,COMMERCIAL,1,BRICK,UNDETERMINED,493420,-128000,-300000,65420,NO,NO
17304,2019273598,11/14/2019,12:42 AM,4309 CEDAR SPRINGS RD,75219,3/A,35W,2,500,SHED,1,METAL,UNDETERMINED,2300,-1500,-800,0,NO,NO
17305,2019274210,11/14/2019,04:49 PM,1288 N BAGLEY ST,75211,9/B,42X,6,10701,DWELLING,1,,MECHANICAL FAILURE MALFUNCTION OTHER,50000,-6000,-2000,42000,NO,NO
17306,2019274178,11/14/2019,04:26 PM,3920 SINGLETON BLVD,75212,9/B,43N,6,10500,MANUFACTURING,1,,CUTTING WELDING TOO CLOSE TO COMBUSTIBLES,824820,0,0,824820,NO,NO
17307,2019274236,11/14/2019,05:20 PM,5528 ALPHA RD,75240,4/B,15A,11,13615,COMMERCIAL,1,,INCENDIARY,975190,-1000,0,974190,UNK,UNK
17318,2019273671,11/14/2019,12:00 AM,4636 ROSS AVE,75204,3/A,46-A,2,1503,TRASH CAN,,,INCENDIARY,600,0,0,600,NO,NO
17308,2019274654,11/15/2019,06:04 AM,1234 ROBIN GLEN DR,75232,6/B,64P,3,11001,DWELLING,1,WOOD,ABANDONED OR DISCARDED MATERIALS OR PRODUCTS,273760,-80000,-60000,133760,NO,YES
17310,2019274949,11/15/2019,02:02 PM,4951 BERNAL DR,75212,9/C,42L,6,10601,DWELLING,1,WOOD,UNDETERMINED,65500,-45000,-500,20000,NO,NO
17311,2019274671,11/15/2019,07:01 AM,10944 GRISSOM LN,75229,7/B,23E,6,9610,WAREHOUSE,,METAL,INCENDIARY,1980000,-20000,0,1960000,NO,NO
17312,2019200821,11/15/2019,09:31 PM,990 SINGLETON BLVD,75212,1/C,44P,6,4300,APARTMENTS,5,,ABANDONED OR DISREGARDED MATERIAL OR PRODUCTS,28500,0,-500,28000,YES,YES
17313,2019275294,11/15/2019,08:10 PM,3062 SPRUCE VALLEY LN,75233,6/c,53X,3,10805,APARTMENTS,2,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,4015000,-10000,-4000,4001000,NO,YES
17315,2019276287,11/16/2019,11:46 PM,3072 HOUSTON ST,75201,1/A,45E,2,1900,VEHICLE,,FORD FOCUS,"MECHANICAL FAILURE,MALFUNCTION,OTHER",3000,-3000,0,0,NO,NO
17316,2019276184,11/16/2019,09:00 PM,13695 GOLDMARK DR,75240,4/A,16L,11,19213,APARTMENTS,,WOOD,INCENDIARY,7105000,-1000,-50,7103950,YES,YES
17317,2019276752,11/17/2019,03:33 PM,10944 GRISSOM LN,75229,7/B,23E,6,9610,WAREHOUSE,1,METAL,INCENDIARY,1980000,-1000,0,1979000,N/A,
17319,2019277893,11/18/2019,08:49 PM,1506 ADELAIDE DR,75216,5/C,65-F,4,5901,SHED,1,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,4600,-1000,-600,3000,NO,NO
17320,2019278639,11/19/2019,06:18 PM,1617 MARKET CENTER BLVD,75207,9/A,44H,6,10000,COMMERICAL,1,,FAILURE TO CLEAN.,2300000,-50000,-50000,2200000,YES,YES
17321,2019278787,11/19/2019,10:10 PM,1429 BENNETT AVE,75206,3/A,46A,2,1503,4 PLEX,2,BRICK,UNDETERMINED,668060,-9000,-1000,658060,NO,NO
17322,2019278081,11/19/2019,06:21 AM,8417 ELAM RD,75217,8/C,58V,5,9202,GARAGE,1,WOOD,UNDETERMINED,11000,-10000,-1000,0,NO,UNK
17323,2019278934,11/20/2019,04:30 AM,11600 AUDELIA RD,75243,4/A,27C,10,18505,APARTMENT,2,WOOD,UNDETERMINED,12015000,-100000,-10000,11905000,NO,NO
17324,2019278944,11/20/2019,04:07 AM,202 S JIM MILLER RD,75217,8/A,58-W,8,11601,APARTMENTS,2,WOOD,INCENDIARY,5303000,0,0,5303000,N/A,NO
17325,2019280143,11/21/2019,02:20 PM,2582 WOOD VALLEY DR,75211,9C,52V,3,10801,DWELLING,1,FRAME,UNDETERMINED,244980,-50000,-10000,184980,NO,YES
17326,2019280289,11/21/2019,05:16 PM,10325 DENTON DR,75220,7B,23T,6,900,COMMERICAL,1,METAL,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,29690,-500,-20000,9190,NO,UNK
17327,2019280419,11/21/2019,07:34 PM,18925 CAMPBELL RD,75252,2C,5A,12,31715,DWELLING,2,BRICK,ABANDONED OR DISREGARDED MATERIALS OR PRODUCTS,3488786,-500,-15,3488271,NO,YES
17328,2019280669,11/22/2019,04:51 AM,6211 LAKESHORE DR,75214,3C,36U,14,1102,DWELLING,2,BRICK,"OPERATIONAL DEFICIENCY, OTHER",1420680,-10000,0,1410680,N/A,YES
17329,2019280765,11/22/2019,08:07 AM,1907 PRATT ST,75224,6A,54Q,1,6200,APARTMENTS,2,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,1591000,-100,-200,1590700,NO,YES
17337,2019280664,11/22/2019,04:22 AM,1508 SAVOY ST,75224,5B,54S,4,6301,DWELLING,1,WOOD,UNDETERMINED,71610,-30000,-8000,33610,NO,
17338,2019281124,11/22/2019,04:52 PM,1815 ANGELINA DR,75212,9A,44E,6,10101,DWELLING,3,WOOD,UNDETERMINED,607960,-1500,-500,605960,NO,NO
17333,2019281460,11/23/2019,01:33 AM,10618 GREYFRIARS LN,75238,4C,27H,10,13009,APARTMENTS,2,WOOD,INCENDIARY,1000000,-100,0,999900,NO,NO
17334,2019281696,11/23/2019,10:46 AM,9850 KITTYHAWK LN,75217,8B,59P,5,11800,DWELLING,1,WOOD,INCENDIARY,178730,0,-200,178530,N/A,YES
17335,2019281767,11/23/2019,12:52 PM,1427 MAYWOOD AVE,75216,5B,55X,4,5700,VEHICLE,,FORD F150,INCENDIARY,2000,-1500,0,500,NO,
17336,2019282134,11/23/2019,09:41 PM,9669 FOREST LN,75243,4B,17Y,10,19035,TRASH,,,INCENDIARY,5000,-5000,0,0,NO,NO
17330,2019281683,11/23/2019,12:21 PM,3200 OLYMPUS BLVD,75019,7B`,11A-K,6,14127,COMMERICAL,5,,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,5010000,0,-10000,5000000,NO,NO
17331,2019281949,11/23/2019,05:33 PM,5055 PEAR RIDGE DR,75287,2B,4D,12,31714,APARTMENTS,2,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,10603892,-500,-1800,10601592,NO,YES
17332,2019252368,11/24/2019,06:59 AM,2880 PEAVY RD,75228,8C,38Y,7,12302,APARTMENTS,2,WOOD,ABANDONED OR DISREGARDED MATERIAL OR PRODUCTS,9252000,-10000,-500,9241500,N/A,YES
17339,2019282780,11/24/2019,06:12 PM,2316 HILLSBORO AVE,75228,8C,38V,7,12301,DWELLING,1,WOOD,UNDETERMINED,144800,-200,0,144600,NO,NO
17342,2019282216,11/24/2019,12:12 AM,3040 COMMUNITY DR,75220,7/C,23Y,2,7201,VEHICLE,2011,INFINITY G37,INCENDIARY,8000,-8000,0,0,,
17340,2019196277,11/25/2019,05:04 PM,3617 NORTHAVEN RD,75229,7A,23D,13,9607,DWELLING,1,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,419390,-30000,-5000,384390,NO,YES
17341,2019283937,11/26/2019,06:09 AM,4223 DELANO PL,75204,4A,45D,2,800,WOOD,1,WOOD,UNDETERMINED,3000,-3000,0,0,NO,
17343,2019284258,11/26/2019,02:33 PM,3413 KINMORE ST,75223,8/B,47J,2,2500,DWELLING,1,WOOD,EQUIPMENT UNATTENDED,64620,-20000,-7500,37120,NO,NO
17344,2019285022,11/27/2019,02:23 PM,3801 PARRY AVE,75210,1/C,46K,7,20300,TRASH,,,INCENDIARY,250000,0,0,250000,NO,NO
17345,2019284704,11/27/2019,03:34 AM,1144 S MARLBOROUGH AVE,75208,6/B,54J,1,5300,DWELLING,1,WOOD,INCENDIARY,105690,-80000,0,25690,NO,NO
17346,2019285577,11/28/2019,06:00 AM,349 BUTTERCUP LN,75217,8/C,59T,5,11701,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,107270,-25000,-20000,62270,NO,NO
17347,2019286184,11/28/2019,10:55 PM,2450 LLEWELLYN AVE,75224,6/A,54U,4,6200,DWELLING,1,WOOD,EQUIPMENT UNATTENDED,236000,-50000,-15000,171000,NO,YES
17348,2019286034,11/28/2019,06:39 PM,3015 IVANDELL AVE,75211,9/A,53L,1,4500,DWELLING,1,WOOD,MECHANICAL FAILURE MALFUNCTION OTHER,181190,-15000,-5000,161190,,
17350,2019286200,11/28/2019,11:14 PM,3869 WEMDON DR,75220,7/A,24W,2,9401,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,280540,-20000,-10000,250540,,
17354,2019286036,11/28/2019,06:40 PM,10010 FOREST LN,75243,4/A,17Z,10,18505,APARTMENTS,3,WOOD,UNDETERMINED,8134290,-850000,-110000,7174290,,
17355,2019285719,11/28/2019,10:44 AM,1418 DICEMAN AVE,75203,6/A,55M,4,5500,BRUSH,,,INCENDIARY,0,0,0,0,,
17356,2019285713,11/28/2019,10:43 AM,1819 MICHIGAN AVE,75216,6/A,54R,4,5400,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,127030,-30000,-7500,89530,,
17357,2019285864,11/28/2019,02:49 AM,3932 W DAVIS ST,75211,9/A,53A,3,6700,TRASH,,,UNDETERMINED,0,0,0,0,,
17358,2019286377,11/29/2019,06:36 AM,3425 S POLK ST,75224,5/A,64B,4,6100,APARTMENTS,2,WOOD,INCENDIARY,1475000,-5000,-2000,1468000,,
17351,2019286852,11/29/2019,06:41 PM,3915 LEMMON AVE,75214,3/B,35X,14,605,DUMPSTER,,,INCENDIARY,500,0,0,500,NO,NO
17349,2019286395,11/29/2019,07:31 AM,4830 LAKAWANA ST,75247,9/B,43C,6,10000,COMMERCIAL,1,,MECHANICAL FAILURE MALFUNCTION OTHER,3000000,0,-25000,2975000,YES,YES
17352,2019287989,11/30/2019,09:21 PM,2101 N HASKELL AVE,75204,3/C,45D,14,1600,APARTMENTS,2,WOOD,UNDETERMINED,7200030,-50,-30,7199950,NO,NO
17353,2019287826,11/30/2019,05:48 PM,6306 BELLBROOK DR,75217,8/C,57V,8,9304,DWELLING,1,WOOD,UNDETERMINED,105570,-5000,-500,100070,N/A,YES
17442,2019288346,12/01/2019,08:51 AM,315 S MONTCLAIR AVE,75208,6/A,54E,1,5200,DWELLING,2,WOOD,UNDETERMINED,376640,-175000,-20000,181640,,
17443,2019288602,12/01/2019,04:17 AM,4709 MONARCH ST,75204,3/A,35Z,2,800,GARAGE,1,BLOCK,UNDETERMINED,320000,-10000,-70000,240000,NO,NO
17444,,12/01/2019,04:17 AM,4709 MONARCH ST,75204,3/A-E,35Z-E,,,VEHICLE,2006,MERZ VAN,EXPOSURE (UNDETERMINED),70000,-70000,0,0,NO,NO
17445,,12/01/2019,04:17 AM,4709 MONARCH ST,75204,3/A-E,35Z-E,,,VEHICLE,2006,CHEVY SILVERADO,EXPOSURE (UNDETERMINED),10000,-10000,0,0,NO,NO
17446,,12/01/2019,04:17 AM,4709 MONARCH ST,75204,3/A-E,35Z-E,,,VEHICLE,1988,BUICK OLDSMOBILE,EXPOSURE (UNDETERMINED),1000,-1000,0,0,NO,NO
17447,,12/01/2019,04:17 AM,4709 MONARCH ST,75204,3/A-E,35Z-E,,,VEHICLE,2014,VW JETTA,EXPOSURE (UNDETERMINED),20000,-20000,0,0,NO,NO
17448,,12/01/2019,04:17 AM,4709 MONARCH ST,75204,3/A-E,35Z-E,,,VEHICLE,2018,ISUZU NPRJ,EXPOSURE (UNDETERMINED),50000,-1000,0,49000,NO,NO
17449,,12/01/2019,04:17 AM,2009 N PRAIRIE AVE,75204,3/A-E,35Z-E,,,DWELLING,2,WOOD,EXPOSURE (UNDETERMINED),1235340,-2000,0,1233340,NO,NO
17466,2019288875,12/01/2019,11:30 PM,7234 S LANCASTER RD,75241,5/A,65Z,8,16701,DWELLING,1,WOOD,UNDETERMINED,85310,-30000,0,55310,NO,UNK
17359,2019288335,12/01/2019,08:27 AM,3130 LOMBARDY LN,75220,7/A,23T,6,7201,APARTMENTS,2,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,250000,-1000,0,249000,NO,NO
17360,2019288590,12/01/2019,04:03 PM,10028 ROYAL LN,75238,4/A,27G,10,13009,APARTMENTS,2,WOOD,ABANDONED OR DISCARDED MATERIALS OR PRODUCTS,8349000,-500,0,8348500,NO,UNK
17361,2019288775,12/01/2019,08:09 PM,4607 TIMBERGLEN RD,75287,2/A,4C,12,31713,APARTMENTS,3,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,10002000,0,-2000,10000000,YES,UNK
17362,2019288165,12/01/2019,02:11 AM,7611 RYANRIDGE DR,75232,5/C,64Z,8,11105,VEHICLE,2004,DODGE 1500,MECHANICAL FAILURE MALFUNCTION OTHER,7200,-7000,-200,0,,
17363,,12/01/2019,02:11 AM,7611 RYANRIDGE DR,75232,5/C-E,64Z-E,,,VEHICLE,2016,NISSAN SENTRA,EXPOSURE (ACCIDENTAL),9000,-9000,0,0,,
17364,,12/01/2019,02:11 AM,7611 RYANRIDGE DR,75232,5/C-E,64Z-E,,,DWELLING,1,WOOD,EXPOSURE (ACCIDENTAL),100010,-500,0,99510,N/A,UNK
17365,2019288912,12/02/2019,01:15 AM,8550 MIDPARK RD,75240,4/A,16L,11,19213,APARTMENTS,11,CONCRETE,UNDETERMINED,198000,0,0,198000,YES,YES
17366,2019289159,12/02/2019,09:36 AM,5917 BELT LINE RD,75254,2/B,15B,1,13621,TRASH,,,UNDETERMINED,250,-250,0,0,N/A,NO
